,week,home,away,goal1,goal2,result,home_form,away_form,home_rank,away_rank
206,21,BEŞİKTAŞ,GÖZTEPE,2,1,1,2.6,1.5,1,10
207,21,KASIMPAŞA,SİVASSPOR,2,0,1,0.75,1.4,16,12
208,21,ALANYASPOR,ANKARAGÜCÜ,4,3,1,1,1.2,5,19
209,21,FENERBAHÇE,KAYSERİSPOR,3,0,1,2.6,1.8,2,17
210,22,MALATYASPOR,KARAGÜMRÜK,0,0,0,1.4,1.8,9,8
211,22,GAZİANTEP,GALATASARAY,1,2,2,1.4,1.8,4,3
212,22,KASIMPAŞA,KAYSERİSPOR,0,1,2,1.5,1.8,12,17
213,22,BAŞAKŞEHİR,HATAYSPOR,1,5,2,1.6,1,15,7
214,22,FENERBAHÇE,RİZESPOR,1,0,1,2.6,1,2,13
215,22,ERZURUMSPOR,ANKARAGÜCÜ,1,0,1,1,0.6,20,19
216,22,ALANYASPOR,SİVASSPOR,3,1,1,1,1.2,5,14
217,22,DENİZLİSPOR,GÖZTEPE,2,1,1,0.2,1.2,21,11
218,22,GENÇLERBİRLİĞİ,ANTALYASPOR,0,1,2,0.6,2,18,10
219,22,BEŞİKTAŞ,TRABZONSPOR,1,2,2,2.6,2.5,1,6
220,23,HATAYSPOR,FENERBAHÇE,1,2,2,1.6,2.6,7,1
221,23,GALATASARAY,BAŞAKŞEHİR,3,0,1,2.4,1,3,15
222,23,RİZESPOR,KASIMPAŞA,1,1,0,1,1.2,13,12
223,23,SİVASSPOR,ERZURUMSPOR,0,0,0,1,1.75,14,18
224,23,KARAGÜMRÜK,GAZİANTEP,2,0,1,2,0.8,8,6
225,23,KAYSERİSPOR,ALANYASPOR,1,1,0,1.8,1.75,17,4
226,23,KONYASPOR,GENÇLERBİRLİĞİ,0,0,0,0.25,0,16,19
227,23,ANTALYASPOR,BEŞİKTAŞ,1,1,0,2,2,9,2
228,23,GÖZTEPE,MALATYASPOR,2,2,0,1.2,1.4,11,10
229,23,TRABZONSPOR,DENİZLİSPOR,1,0,1,2.5,0.8,5,21
230,24,KASIMPAŞA,HATAYSPOR,1,4,2,0.8,1.4,12,6
231,24,ALANYASPOR,RİZESPOR,2,1,1,2,1,5,13
232,24,BAŞAKŞEHİR,KARAGÜMRÜK,0,1,2,0.4,2,16,8
233,24,FENERBAHÇE,GALATASARAY,0,1,2,2.6,2.4,1,2
234,24,ERZURUMSPOR,KAYSERİSPOR,1,1,0,2,1.4,18,17
235,24,ANKARAGÜCÜ,SİVASSPOR,1,4,2,0.75,0.6,20,14
236,24,DENİZLİSPOR,ANTALYASPOR,1,1,0,0.6,1.5,21,9
237,24,BEŞİKTAŞ,KONYASPOR,1,0,1,2,0.5,3,15
238,24,GAZİANTEP,GÖZTEPE,2,0,1,0.8,1.4,7,11
239,24,MALATYASPOR,TRABZONSPOR,0,2,2,1.6,2.6,10,4
240,25,RİZESPOR,ERZURUMSPOR,0,2,2,1,1.5,13,18
241,25,KAYSERİSPOR,ANKARAGÜCÜ,0,0,0,1.6,0.75,16,20
242,25,TRABZONSPOR,GAZİANTEP,1,0,1,3,0.8,4,7
243,25,KARAGÜMRÜK,FENERBAHÇE,1,2,2,2,2,8,3
244,25,KONYASPOR,DENİZLİSPOR,2,0,1,0.5,0.8,15,21
245,25,HATAYSPOR,ALANYASPOR,0,0,0,1.4,2.2,6,5
246,25,GALATASARAY,KASIMPAŞA,2,1,1,3,0.8,1,14
247,25,GÖZTEPE,BAŞAKŞEHİR,2,1,1,0.8,0.2,12,17
248,25,GENÇLERBİRLİĞİ,BEŞİKTAŞ,0,3,2,0.25,2,19,2
249,25,ANTALYASPOR,MALATYASPOR,1,1,0,1.5,1,9,10
250,26,BAŞAKŞEHİR,TRABZONSPOR,0,1,2,0.2,3,18,4
251,26,KASIMPAŞA,KARAGÜMRÜK,3,2,1,0.8,2,15,8
252,26,MALATYASPOR,KONYASPOR,2,3,2,0.6,1.25,10,13
253,26,DENİZLİSPOR,GENÇLERBİRLİĞİ,1,0,1,0.8,0.25,21,19
254,26,ALANYASPOR,GALATASARAY,0,1,2,2.2,3,5,1
255,26,ERZURUMSPOR,HATAYSPOR,1,3,2,2,1.6,17,6
256,26,SİVASSPOR,KAYSERİSPOR,2,0,1,1,1.2,12,16
257,26,GAZİANTEP,ANTALYASPOR,0,0,0,0.8,1.4,7,9
258,26,FENERBAHÇE,GÖZTEPE,0,1,2,2.4,0.8,3,11
259,26,ANKARAGÜCÜ,RİZESPOR,1,1,0,0.25,0.4,20,14
260,27,KONYASPOR,GAZİANTEP,0,0,0,1.75,0.8,12,7
261,27,GENÇLERBİRLİĞİ,MALATYASPOR,1,1,0,0.25,0.6,21,13
262,27,BEŞİKTAŞ,DENİZLİSPOR,3,0,1,1.75,1.4,2,19
263,27,HATAYSPOR,ANKARAGÜCÜ,4,1,1,2,0.5,6,20
264,27,KARAGÜMRÜK,ALANYASPOR,2,0,1,1.4,1.6,8,5
265,27,RİZESPOR,SİVASSPOR,0,0,0,0.4,1.75,15,11
266,27,ANTALYASPOR,BAŞAKŞEHİR,0,0,0,1.4,0,9,18
267,27,GALATASARAY,ERZURUMSPOR,2,0,1,3,1.6,1,17
268,27,GÖZTEPE,KASIMPAŞA,1,0,1,1.4,0.8,10,14
269,27,TRABZONSPOR,FENERBAHÇE,0,1,2,3,1.8,4,3
270,28,GAZİANTEP,GENÇLERBİRLİĞİ,2,1,1,1,0.5,7,20
271,28,MALATYASPOR,BEŞİKTAŞ,0,1,2,0.6,2.5,13,2
272,28,ERZURUMSPOR,KARAGÜMRÜK,2,2,0,1,1.8,18,8
273,28,SİVASSPOR,HATAYSPOR,1,1,0,2,2,11,5
274,28,BAŞAKŞEHİR,KONYASPOR,1,1,0,0.2,1.6,17,12
275,28,ANKARAGÜCÜ,GALATASARAY,2,1,1,0.5,3,21,1
276,28,KAYSERİSPOR,RİZESPOR,2,1,1,0.75,0.6,16,15
277,28,ALANYASPOR,GÖZTEPE,1,1,0,1,2,6,9
278,28,KASIMPAŞA,TRABZONSPOR,1,2,2,0.8,2.4,14,4
279,28,FENERBAHÇE,ANTALYASPOR,1,1,0,1.8,1,3,10
280,29,DENİZLİSPOR,MALATYASPOR,3,2,1,1,0.4,20,13
281,29,BEŞİKTAŞ,GAZİANTEP,2,1,1,3,1.6,2,7
282,29,KARAGÜMRÜK,ANKARAGÜCÜ,0,1,2,1.4,1,8,19
283,29,HATAYSPOR,KAYSERİSPOR,1,3,2,2.2,1.25,5,15
284,29,GENÇLERBİRLİĞİ,BAŞAKŞEHİR,0,1,2,0.25,0.4,21,17
285,29,GALATASARAY,SİVASSPOR,2,2,0,2.4,2,1,11
286,29,TRABZONSPOR,ALANYASPOR,1,3,2,2.4,1,4,6
287,29,ANTALYASPOR,KASIMPAŞA,1,1,0,1,0.6,10,14
288,29,GÖZTEPE,ERZURUMSPOR,3,1,1,2,1,9,18
289,29,KONYASPOR,FENERBAHÇE,0,3,2,1.6,1.4,12,3
290,30,BAŞAKŞEHİR,BEŞİKTAŞ,2,3,2,1,3,16,1
291,30,SİVASSPOR,KARAGÜMRÜK,1,0,1,1.5,0.8,11,8
292,30,RİZESPOR,HATAYSPOR,1,0,1,0.5,1.6,17,6
293,30,ALANYASPOR,ANTALYASPOR,4,0,1,1,1,5,10
294,30,KAYSERİSPOR,GALATASARAY,0,3,2,1.75,2,14,2
295,30,ANKARAGÜCÜ,GÖZTEPE,3,0,1,1.6,2.6,18,9
296,30,ERZURUMSPOR,TRABZONSPOR,0,0,0,0.8,1.8,19,4
297,30,GAZİANTEP,DENİZLİSPOR,2,0,1,1,1.5,7,20
298,30,FENERBAHÇE,GENÇLERBİRLİĞİ,1,2,2,2,0.2,3,21
299,30,KASIMPAŞA,KONYASPOR,1,1,0,0.8,1.6,15,12
300,31,KARAGÜMRÜK,KAYSERİSPOR,3,0,1,0.8,1.5,8,16
301,31,GALATASARAY,RİZESPOR,3,4,2,2,1.25,2,14
302,31,GENÇLERBİRLİĞİ,KASIMPAŞA,2,1,1,0.8,1,21,15
303,31,GÖZTEPE,SİVASSPOR,3,5,2,2,1.8,9,10
304,31,MALATYASPOR,GAZİANTEP,2,2,0,0.25,1.6,13,7
305,31,TRABZONSPOR,ANKARAGÜCÜ,4,1,1,1.4,2,4,17
306,31,ANTALYASPOR,ERZURUMSPOR,3,1,1,0.8,0.4,11,19
